收集器,开始时间,结束时间,填写用时,IP,来源,1、请根据两个用户的点击顺序，选择哪个用户更纠结：,2、请根据两个用户的点击顺序，选择哪个用户更纠结：,3、请根据两个用户的点击顺序，选择哪个用户更纠结：,4、请根据两个用户的点击顺序，选择哪个用户更纠结：,5、请根据两个用户的点击顺序，选择哪个用户更纠结：,6、请根据两个用户的点击顺序，选择哪个用户更纠结：,7、请根据两个用户的点击顺序，选择哪个用户更纠结：,8、请根据两个用户的点击顺序，选择哪个用户更纠结：,9、请根据两个用户的点击顺序，选择哪个用户更纠结：,10、请根据两个用户的点击顺序，选择哪个用户更纠结：
默认收集器,2015/2/8 18:14,2015/2/8 18:15,51 秒,183.33.187.113/32,bbs.ustc.edu.cn,1,1,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 18:13,2015/2/8 18:17,4 分钟 32 秒,167.220.232.199/32,bbs.ustc.edu.cn,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 17:55,2015/2/8 17:58,3 分钟 18 秒,113.47.232.183/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 17:43,2015/2/8 17:47,3 分钟 50 秒,123.150.208.143/32,,0,0,1,0,1,1,1,0,0,1
默认收集器,2015/2/8 16:22,2015/2/8 16:23,58 秒,220.178.102.202/32,,1,1,1,1,1,1,1,1,1,1
默认收集器,2015/2/8 16:12,2015/2/8 16:13,41 秒,101.226.68.141/32,,0,0,0,1,0,0,1,1,1,0
默认收集器,2015/2/8 16:09,2015/2/8 16:11,2 分钟 5 秒,222.195.92.250/32,,0,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 15:37,2015/2/8 15:39,2 分钟 11 秒,114.242.249.211/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 15:26,2015/2/8 15:29,2 分钟 50 秒,96.232.193.91/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 15:06,2015/2/8 15:09,2 分钟 38 秒,58.58.26.198/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 14:48,2015/2/8 15:03,14 分钟 9 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 14:36,2015/2/8 14:41,4 分钟 23 秒,220.178.102.202/32,,0,0,1,0,1,1,1,0,0,1
默认收集器,2015/2/8 14:36,2015/2/8 15:09,33 分钟 27 秒,223.104.18.98/32,,1,0,1,1,0,0,1,1,1,1
默认收集器,2015/2/8 13:59,2015/2/8 14:03,4 分钟 7 秒,125.33.63.137/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 13:58,2015/2/8 13:59,52 秒,218.104.69.114/32,bbs.ustc.edu.cn,1,1,1,1,0,0,0,0,0,1
默认收集器,2015/2/8 13:52,2015/2/8 13:57,4 分钟 53 秒,70.162.166.42/32,,1,1,1,0,1,1,1,1,0,0
默认收集器,2015/2/8 13:40,2015/2/8 13:43,2 分钟 21 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 13:37,2015/2/8 13:40,2 分钟 29 秒,218.22.21.3/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 13:03,2015/2/8 13:05,2 分钟 1 秒,113.98.246.236/32,,0,0,1,0,0,1,0,0,1,0
默认收集器,2015/2/8 13:00,2015/2/8 13:01,54 秒,218.22.21.3/32,,1,1,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 12:59,2015/2/8 13:05,5 分钟 45 秒,125.122.208.106/32,,1,1,0,0,1,1,1,1,0,1
默认收集器,2015/2/8 12:41,2015/2/8 12:43,1 分钟 49 秒,118.198.144.111/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 12:21,2015/2/8 12:24,3 分钟 17 秒,36.59.236.7/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 12:14,2015/2/8 12:18,3 分钟 50 秒,218.22.20.203/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 12:08,2015/2/8 12:09,1 分钟 9 秒,218.21.230.236/32,bbs.ustc.edu.cn,1,1,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 12:00,2015/2/8 12:08,8 分钟 2 秒,60.166.113.33/32,,1,1,0,0,0,0,1,1,0,0
默认收集器,2015/2/8 11:44,2015/2/8 11:46,1 分钟 29 秒,223.104.5.229/32,,1,1,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:43,2015/2/8 11:44,52 秒,218.22.21.23/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:41,2015/2/8 11:45,3 分钟 44 秒,76.24.12.108/32,,1,1,1,1,1,0,0,0,1,1
默认收集器,2015/2/8 11:38,2015/2/8 11:41,2 分钟 38 秒,202.38.88.228/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:37,2015/2/8 16:02,4 小时 24 分钟 27 秒,220.178.102.202/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:36,2015/2/8 11:40,4 分钟 27 秒,218.104.71.166/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:32,2015/2/8 11:35,2 分钟 48 秒,222.195.92.128/32,,1,0,1,1,1,1,0,1,0,1
默认收集器,2015/2/8 11:29,2015/2/8 11:33,4 分钟 21 秒,114.97.43.11/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:28,2015/2/8 11:30,1 分钟 54 秒,117.136.20.84/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:24,2015/2/8 11:25,1 分钟 35 秒,218.104.71.166/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:22,2015/2/8 11:22,0 秒,71.187.167.225/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:22,2015/2/8 11:22,0 秒,71.187.167.225/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:19,2015/2/8 11:20,1 分钟 6 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:18,2015/2/8 11:22,3 分钟 35 秒,123.116.102.90/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:18,2015/2/8 11:22,3 分钟 56 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:18,2015/2/8 11:22,4 分钟 0 秒,71.187.167.225/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:17,2015/2/8 11:21,4 分钟 19 秒,222.195.92.128/32,,1,0,0,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:15,2015/2/8 11:18,3 分钟 10 秒,114.242.248.211/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:11,2015/2/8 11:15,3 分钟 28 秒,69.142.57.92/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 11:04,2015/2/8 11:08,3 分钟 42 秒,222.240.85.31/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 10:31,2015/2/8 10:33,2 分钟 26 秒,173.70.108.17/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 8:55,2015/2/8 8:56,1 分钟 52 秒,36.33.25.171/32,,1,0,0,0,1,1,1,1,0,1
默认收集器,2015/2/8 7:49,2015/2/8 7:53,4 分钟 32 秒,117.64.230.54/32,,1,0,0,0,1,1,1,1,0,1
默认收集器,2015/2/8 6:38,2015/2/8 6:45,6 分钟 58 秒,101.131.138.66/32,,1,1,0,0,1,0,1,1,0,1
默认收集器,2015/2/8 6:11,2015/2/8 6:13,2 分钟 8 秒,152.15.112.185/32,,1,0,0,0,1,1,1,1,0,1
默认收集器,2015/2/8 4:53,2015/2/8 4:57,3 分钟 55 秒,123.113.39.134/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 4:32,2015/2/8 4:41,8 分钟 55 秒,73.194.178.198/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 3:20,2015/2/8 3:23,3 分钟 11 秒,101.226.61.193/32,,1,0,1,0,1,0,1,1,0,1
默认收集器,2015/2/8 3:19,2015/2/8 3:21,2 分钟 37 秒,220.114.186.206/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 3:17,2015/2/8 3:20,2 分钟 36 秒,70.208.78.69/32,,1,0,1,1,1,1,1,1,0,1
默认收集器,2015/2/8 3:01,2015/2/8 3:06,4 分钟 45 秒,207.239.162.230/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 2:49,2015/2/8 2:51,1 分钟 21 秒,123.139.23.120/32,,0,0,1,0,1,1,1,0,0,1
默认收集器,2015/2/8 2:46,2015/2/8 2:49,3 分钟 23 秒,73.160.121.71/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 2:43,2015/2/8 2:45,2 分钟 6 秒,96.240.0.69/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 1:58,2015/2/8 2:02,3 分钟 24 秒,69.142.57.159/32,www.google.com,1,0,0,0,1,1,1,1,0,1
默认收集器,2015/2/7 23:29,2015/2/7 23:34,5 分钟 5 秒,120.210.167.206/32,,1,0,0,0,1,1,1,1,0,1
默认收集器,2015/2/7 23:04,2015/2/7 23:09,4 分钟 23 秒,24.45.104.249/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 22:43,2015/2/7 22:44,1 分钟 11 秒,123.122.66.177/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 22:28,2015/2/7 22:29,1 分钟 2 秒,101.226.61.193/32,,1,0,1,0,1,0,1,1,0,1
默认收集器,2015/2/7 22:27,2015/2/7 22:32,4 分钟 12 秒,221.218.156.22/32,,1,0,0,0,1,0,0,1,0,1
默认收集器,2015/2/7 22:25,2015/2/7 22:27,2 分钟 16 秒,221.218.156.22/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 21:43,2015/2/7 21:47,4 分钟 29 秒,101.226.61.193/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 21:40,2015/2/7 21:41,1 分钟 28 秒,114.96.79.245/32,,0,0,1,0,1,1,1,0,0,1
默认收集器,2015/2/7 21:36,2015/2/7 21:38,2 分钟 17 秒,101.226.61.193/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 21:34,2015/2/7 21:34,34 秒,101.226.61.193/32,,1,0,1,0,1,0,1,1,0,1
默认收集器,2015/2/7 21:32,2015/2/7 21:34,1 分钟 55 秒,101.226.61.193/32,,1,1,1,0,1,0,1,1,0,1
默认收集器,2015/2/7 21:30,2015/2/7 21:34,4 分钟 12 秒,101.226.125.115/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 21:26,2015/2/7 21:30,3 分钟 48 秒,101.226.125.118/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 21:25,2015/2/7 21:30,5 分钟 25 秒,101.226.89.191/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 21:12,2015/2/7 21:12,39 秒,222.195.92.128/32,,1,0,1,0,1,0,1,1,1,1
默认收集器,2015/2/7 21:01,2015/2/7 21:03,1 分钟 32 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/7 20:57,2015/2/7 21:03,6 分钟 29 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,1,1
默认收集器,2015/2/7 20:52,2015/2/7 20:55,3 分钟 11 秒,222.195.92.128/32,,1,0,1,0,1,0,0,1,0,1
默认收集器,2015/2/7 20:50,2015/2/7 21:08,17 分钟 39 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,0,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Switch,0,0,1,0,1,0,0,0,1,1
,,,,,Entropy,0,1,0,1,0,0,0,0,1,0
,,,,,Len,1,1,1,0,1,1,1,1,0,1
,,,,,Score,1,0,1,0,1,0,1,1,0,1
